indic_de,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC_Y15_24,SI	12.2 b	12.0 	11.6 	11.2 	10.9 	10.5 	10.1 	9.8 	9.6 	9.5 	9.4 	9.4 
PC_Y15_24,SK	15.2 	14.9 	14.5 	14.0 	13.5 	13.0 	12.6 	12.2 	11.7 	11.2 	10.8 	10.4 
PC_Y15_24,SM	: 	: 	: 	: 	8.9 	8.9 	: 	: 	: 	: 	9.7 	: 
PC_Y15_24,TR	17.6 	17.4 	17.2 	17.0 	16.8 	16.6 	16.6 	16.5 	16.4 	16.3 	16.1 	15.8 
PC_Y15_24,UA	15.4 	14.9 	14.3 	13.7 	13.0 	12.4 	11.8 	11.3 	10.7 	10.2 	9.8 	9.6 
PC_Y15_24,UK	13.2 	13.1 	13.1 	13.1 	13.0 	12.9 	12.7 	12.6 	12.4 	12.1 	11.9 	11.8 
PC_Y15_24,XK	: 	: 	: 	: 	: 	: 	: 	: 	19.2 	18.2 	18.2 	17.8 
PC_Y25_49,AD	45.9 	45.7 	44.9 	43.9 	43.9 	43.2 	: 	: 	: 	: 	: 	39.4 
PC_Y25_49,AL	32.1 	32.1 	32.1 	32.1 	32.1 	32.0 	32.0 	32.0 	32.3 	32.6 	32.7 	33.0 
PC_Y25_49,AM	36.9 	36.9 	36.8 	: 	: 	: 	: 	35.9 	36.3 	36.6 	36.9 	36.9 
PC_Y25_49,AT	37.4 	37.2 	36.9 	36.5 	36.2 	35.8 	35.5 	35.2 	34.9 	34.6 	34.3 	34.0 
PC_Y25_49,AZ	38.5 	38.4 	38.6 	38.5 	38.5 	38.6 	38.6 	38.7 	38.8 	38.9 	39.0 	39.1 
PC_Y25_49,BE	35.1 	34.9 	34.6 	34.4 b	34.1 	33.8 	33.6 	33.3 	33.1 	32.9 	32.8 	32.7 
PC_Y25_49,BG	35.1 	35.1 	35.1 	35.0 	35.1 	35.1 	35.2 	35.3 	35.4 	35.4 	35.3 	35.0 
PC_Y25_49,BY	37.6 	37.6 	: 	36.9 	36.9 	36.8 	36.8 	36.8 	36.8 	36.7 	36.7 	36.6 
PC_Y25_49,CH	37.2 	37.1 	37.0 	36.8 b	36.7 	36.4 	36.2 	35.9 	35.7 	35.4 	35.2 	35.0 
PC_Y25_49,CY	36.3 	36.5 	36.7 	36.9 	37.5 	37.6 	37.5 	36.9 	36.6 	36.5 	36.7 	37.1 
PC_Y25_49,CZ	36.9 	37.0 	37.1 	37.2 	37.2 	37.3 	37.1 	37.0 	36.9 	36.8 	36.7 	36.7 
PC_Y25_49,DE	36.0 	35.7 	35.3 	34.6 b	34.2 	33.9 	33.5 b	33.1 	32.9 	32.4 	32.0 	31.6 
PC_Y25_49,DK	34.4 	34.0 	33.7 	33.4 	33.1 	32.8 	32.5 	32.3 	32.1 	31.8 	31.7 	31.7 
PC_Y25_49,EA18	36.2 	36.0 	35.7 	35.3 b	35.0 b	34.6 	34.3 b	33.8 b	33.5 	33.1 b	32.7 p	32.4 p
